Week,Type,Customer segment,Emails delivered,Unique opens,Unique clicks
Week 1,Invite,Group 1,276,54,24
Week 3,Invite,Group 1,155,31,8
Week 2,Reminder,Group 1,127,22,7
Week 2,Invite,Group 1,140,32,15
Week 1,Reminder,Group 2,1221,284,22
Week 1,Reminder,Group 1,257,38,17
Week 1,Invite,Group 2,1262,382,41
Week 4,Invite,Group 1,164,50,15
Week 3,Reminder,Group 1,148,28,11
Week 3,Invite,Group 2,1138,316,28
Week 2,Invite,Group 2,1165,341,35
Week 2,Reminder,Group 2,1130,263,21
Week 1,Reminder,Group 3,960,211,70
Week 2,Invite,Group 3,419,137,57
Week 3,Reminder,Group 3,413,91,29
Week 4,Invite,Group 3,401,142,41
Week 3,Invite,Group 3,449,128,37
Week 1,Invite,Group 3,1064,319,114
Week 4,Reminder,Group 3,366,117,30
Week 3,Reminder,Group 2,1111,275,18
Week 2,Reminder,Group 3,369,80,22
Week 4,Invite,Group 2,1140,332,34
Week 4,Reminder,Group 1,150,32,11
Week 4,Reminder,Group 2,1110,296,28
